City,Temp,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
toamasina,68.0,20.0,MG,1572143702.0,100.0,-18.17,49.38,68.0,4.7
severo-kurilsk,36.0,100.0,RU,1572143702.0,88.0,50.68,156.12,36.0,21.74
port blair,78.8,40.0,IN,1572143702.0,94.0,11.67,92.75,78.8,2.24
dikson,9.05,90.0,RU,1572143703.0,90.0,73.51,80.55,9.05,7.67
vila,51.46,0.0,IT,1572143703.0,100.0,45.18,8.4,55.0,5.82
mashhad,51.8,75.0,IR,1572143703.0,62.0,36.3,59.61,51.8,4.7
albany,43.66,90.0,US,1572143702.0,70.0,42.65,-73.75,48.2,6.82
nadym,22.78,100.0,RU,1572143703.0,95.0,65.53,72.51,22.78,18.39
tiksi,9.32,99.0,RU,1572143703.0,91.0,71.64,128.87,9.32,3.11
atuona,79.32,9.0,PF,1572143704.0,66.0,-9.8,-139.03,79.32,2.21
nikolskoye,41.4,75.0,RU,1572143704.0,93.0,59.7,30.79,43.0,6.71
sawakin,83.7,62.0,SD,1572143704.0,74.0,19.1,37.33,83.7,13.51
taolanaro,,,,,,,,,
ughelli,74.43,90.0,NG,1572143704.0,95.0,5.49,6.0,74.43,0.96
bredasdorp,53.6,25.0,ZA,1572143705.0,81.0,-34.53,20.04,53.6,1.12
markova,30.2,75.0,RU,1572143705.0,68.0,52.21,104.21,30.2,15.66
airai,85.3,0.0,TL,1572143705.0,36.0,-8.93,125.41,85.3,8.21
maceio,73.4,75.0,BR,1572143705.0,94.0,-9.67,-35.74,73.4,5.82
guerrero negro,71.42,0.0,MX,1572143705.0,32.0,27.97,-114.04,71.42,7.05
khani,51.8,75.0,GE,1572143705.0,100.0,41.96,42.96,51.8,2.24
klaksvik,42.8,100.0,FO,1572143705.0,75.0,62.23,-6.59,42.8,21.92
mecca,75.43,0.0,SA,1572143705.0,61.0,21.43,39.83,75.43,1.66
viedma,60.48,0.0,AR,1572143706.0,45.0,-40.81,-62.99,60.48,10.42
omboue,73.04,100.0,GA,1572143706.0,98.0,-1.57,9.26,73.04,2.08
avera,73.99,90.0,US,1572143706.0,100.0,33.19,-82.53,75.2,10.29
ambilobe,73.42,0.0,MG,1572143706.0,84.0,-13.19,49.05,73.42,6.91
juneau,40.17,90.0,US,1572143706.0,93.0,58.3,-134.42,41.0,0.43
mataura,55.99,100.0,NZ,1572143706.0,90.0,-46.19,168.86,55.99,1.99
jurm,41.34,100.0,AF,1572143707.0,45.0,36.86,70.83,41.34,0.83
tuktoyaktuk,28.4,90.0,CA,1572143707.0,74.0,69.44,-133.03,28.4,16.11
khatanga,-0.01,0.0,RU,1572143707.0,89.0,71.98,102.47,-0.01,4.25
samusu,,,,,,,,,
avarua,69.8,100.0,CK,1572143707.0,88.0,-21.21,-159.78,69.8,4.7
barrow,58.3,0.0,AR,1572143707.0,86.0,-38.31,-60.23,58.3,14.36
bathsheba,82.4,40.0,BB,1572143708.0,74.0,13.22,-59.52,82.4,13.87
jamestown,67.32,0.0,AU,1572143708.0,35.0,-33.21,138.6,67.32,11.5
nelson bay,70.38,0.0,AU,1572143708.0,33.0,-32.72,152.14,72.0,14.99
bluff,89.13,0.0,AU,1572143708.0,28.0,-23.58,149.07,89.13,3.18
barentsburg,,,,,,,,,
lompoc,58.44,75.0,US,1572143708.0,93.0,34.64,-120.46,64.4,10.69
tailai,42.94,0.0,CN,1572143708.0,48.0,46.39,123.41,42.94,7.2
qaanaaq,16.5,100.0,GL,1572143709.0,81.0,77.48,-69.36,16.5,3.47
punta arenas,37.18,75.0,CL,1572143709.0,84.0,-53.16,-70.91,37.4,16.11
bethel,45.12,90.0,US,1572143709.0,87.0,60.79,-161.76,48.2,16.11
illoqqortoormiut,,,,,,,,,
la palma,69.46,100.0,CO,1572143709.0,99.0,5.36,-74.39,69.46,0.58
hermanus,55.99,4.0,ZA,1572143476.0,86.0,-34.42,19.24,55.99,8.99
paamiut,34.54,100.0,GL,1572143709.0,45.0,61.99,-49.67,34.54,9.01
sierra vista,58.95,1.0,US,1572143457.0,15.0,31.55,-110.3,68.0,12.75
touros,75.2,75.0,BR,1572143710.0,88.0,-5.2,-35.46,75.2,4.7
palabuhanratu,,,,,,,,,
gravelbourg,23.61,100.0,CA,1572143710.0,71.0,49.88,-106.56,23.61,18.72
los llanos de aridane,72.66,100.0,ES,1572143710.0,83.0,28.66,-17.92,73.4,4.7
fairbanks,32.56,40.0,US,1572143710.0,80.0,64.84,-147.72,34.0,5.82
provideniya,32.04,100.0,RU,1572143710.0,98.0,64.42,-173.23,32.04,12.73
grand river south east,,,,,,,,,
port elizabeth,57.87,20.0,US,1572143711.0,82.0,39.31,-74.98,63.0,5.82
solenzo,79.02,0.0,BF,1572143711.0,60.0,12.18,-4.08,79.02,3.69
naryan-mar,13.5,48.0,RU,1572143583.0,86.0,67.67,53.09,13.5,6.89
attawapiskat,,,,,,,,,
ushuaia,41.0,20.0,AR,1572143771.0,80.0,-54.81,-68.31,41.0,8.05
yellowknife,23.88,90.0,CA,1572143725.0,79.0,62.45,-114.38,24.8,2.24
lasa,64.4,0.0,CY,1572143771.0,77.0,34.92,32.53,64.4,9.17
ilulissat,26.6,90.0,GL,1572143772.0,49.0,69.22,-51.1,26.6,5.82
buala,84.83,40.0,SB,1572143772.0,68.0,-8.15,159.59,84.83,7.61
cape town,57.15,40.0,ZA,1572143772.0,82.0,-33.93,18.42,59.0,8.05
saleaula,,,,,,,,,
cruzilia,62.06,32.0,BR,1572143772.0,92.0,-21.84,-44.81,62.06,1.97
vallenar,52.23,0.0,CL,1572143773.0,62.0,-28.58,-70.76,52.23,2.86
torbay,39.51,90.0,CA,1572143773.0,93.0,47.66,-52.73,41.0,8.05
egvekinot,5.34,11.0,RU,1572143773.0,80.0,66.32,-179.17,5.34,12.86
chaihe,45.18,0.0,CN,1572143773.0,34.0,44.77,129.68,45.18,5.68
hobart,58.32,75.0,AU,1572143774.0,58.0,-42.88,147.33,60.01,17.22
beringovskiy,23.09,100.0,RU,1572143774.0,94.0,63.05,179.32,23.09,37.67
alofi,77.0,100.0,NU,1572143774.0,73.0,-19.06,-169.92,77.0,16.11
tombouctou,81.52,0.0,ML,1572143775.0,10.0,16.77,-3.01,81.52,16.51
wattegama,72.1,100.0,LK,1572143775.0,89.0,7.35,80.68,72.1,1.74
saint george,46.4,0.0,GR,1572143775.0,81.0,39.45,22.34,46.4,1.54
rikitea,71.42,36.0,PF,1572143775.0,82.0,-23.12,-134.97,71.42,23.13
makung,,,,,,,,,
sao felix do xingu,71.35,27.0,BR,1572143776.0,95.0,-6.64,-51.99,71.35,0.87
kahului,81.19,40.0,US,1572143777.0,45.0,20.89,-156.47,87.8,18.34
hamilton,49.64,90.0,CA,1572143544.0,93.0,43.26,-79.87,52.0,13.87
creston,37.4,20.0,CA,1572143516.0,47.0,49.1,-116.52,37.4,2.86
kaitangata,52.12,100.0,NZ,1572143777.0,89.0,-46.28,169.85,52.12,5.82
kapaa,83.44,1.0,US,1572143777.0,74.0,22.08,-159.32,86.0,9.17
bemidji,42.73,90.0,US,1572143778.0,81.0,47.48,-94.89,46.4,17.22
kalulushi,63.68,21.0,ZM,1572143778.0,42.0,-12.84,28.09,63.68,5.12
sydney,74.25,0.0,AU,1572143778.0,30.0,-33.85,151.22,81.0,14.99
new norfolk,58.3,75.0,AU,1572143778.0,58.0,-42.78,147.06,60.01,17.22
port alfred,64.99,95.0,ZA,1572143778.0,95.0,-33.59,26.89,64.99,1.99
yenagoa,74.34,100.0,NG,1572143779.0,96.0,4.92,6.26,74.34,0.54
cambridge,48.87,90.0,CA,1572143779.0,93.0,43.39,-80.31,52.0,13.87
floro,37.35,100.0,NO,1572143779.0,65.0,61.6,5.03,44.6,10.29
nova praha,42.8,90.0,UA,1572143779.0,100.0,48.57,32.9,42.8,2.24
dongsheng,55.56,100.0,CN,1572143779.0,71.0,29.72,112.52,55.56,4.81
narsaq,28.4,100.0,GL,1572143779.0,58.0,60.91,-46.05,28.4,3.67
liverpool,42.19,20.0,GB,1572143779.0,87.0,53.41,-2.98,46.99,14.99
ardakan,57.2,20.0,IR,1572143780.0,71.0,32.31,54.02,57.2,4.7
sangar,18.25,80.0,RU,1572143780.0,72.0,63.92,127.47,18.25,11.12
marawi,82.99,32.0,PH,1572143780.0,72.0,8.0,124.29,82.99,5.01
foumban,67.08,100.0,CM,1572143781.0,98.0,5.73,10.9,67.08,3.87
busselton,82.56,0.0,AU,1572143781.0,29.0,-33.64,115.35,86.0,3.98
lagoa,59.74,20.0,PT,1572143781.0,87.0,37.14,-8.45,61.0,5.82
makushino,46.69,82.0,RU,1572143781.0,85.0,55.21,67.25,46.69,21.61
thompson,32.0,90.0,CA,1572143781.0,96.0,55.74,-97.86,32.0,11.41
riyadh,73.4,0.0,SA,1572143588.0,31.0,24.63,46.72,73.4,3.36
nanortalik,35.06,0.0,GL,1572143781.0,74.0,60.14,-45.24,35.06,10.2
kawalu,82.02,95.0,ID,1572143782.0,57.0,-7.38,108.21,82.02,5.46
codrington,78.84,40.0,AU,1572143782.0,44.0,-28.95,153.24,82.4,12.75
coihaique,39.2,90.0,CL,1572143782.0,86.0,-45.58,-72.07,39.2,5.82
porto velho,75.2,57.0,BR,1572143782.0,94.0,-8.75,-63.87,75.2,1.12
peace river,26.6,40.0,CA,1572143782.0,58.0,56.23,-117.29,26.6,5.82
ahipara,80.01,0.0,NZ,1572143782.0,50.0,-35.17,173.16,80.01,5.73
arraial do cabo,73.9,80.0,BR,1572143783.0,90.0,-22.97,-42.02,73.9,18.32
santa cruz de tenerife,72.81,90.0,ES,1572143529.0,77.0,28.47,-16.25,77.0,3.36
muravlenko,35.01,100.0,RU,1572143783.0,98.0,63.79,74.5,35.01,19.89
conceicao do araguaia,73.15,66.0,BR,1572143783.0,92.0,-8.26,-49.26,73.15,4.27
boguchany,22.21,75.0,RU,1572143783.0,85.0,58.38,97.46,22.21,5.53
atar,79.97,0.0,MR,1572143843.0,11.0,20.52,-13.05,79.97,9.8
gorontalo,86.38,24.0,ID,1572143844.0,63.0,0.54,123.06,86.38,10.04
amot,35.01,67.0,NO,1572143844.0,93.0,59.57,7.99,35.01,3.22
aykhal,1.4,90.0,RU,1572143844.0,91.0,65.95,111.51,1.4,6.71
sumbe,74.98,97.0,AO,1572143844.0,89.0,-11.2,13.84,74.98,2.15
faanui,80.37,36.0,PF,1572143845.0,66.0,-16.48,-151.75,80.37,8.03
porbandar,78.8,75.0,IN,1572143845.0,69.0,21.64,69.61,78.8,10.29
boundiali,73.17,50.0,CI,1572143845.0,87.0,9.53,-6.48,73.17,4.81
trelew,58.15,0.0,AR,1572143845.0,22.0,-43.25,-65.31,58.15,20.42
morondava,76.21,45.0,MG,1572143845.0,87.0,-20.3,44.28,76.21,5.55
cairns,85.86,100.0,AU,1572143845.0,54.0,-16.92,145.77,90.0,12.75
sokolow podlaski,48.99,10.0,PL,1572143845.0,86.0,52.41,22.25,48.99,11.3
areosa,59.63,100.0,PT,1572143845.0,82.0,41.72,-8.86,66.99,9.17
stolin,50.22,100.0,BY,1572143846.0,91.0,51.89,26.85,50.22,8.68
sibolga,72.23,100.0,ID,1572143846.0,97.0,1.74,98.78,72.23,1.21
vaini,68.0,75.0,IN,1572143846.0,94.0,15.34,74.49,68.0,9.17
kodiak,45.16,1.0,US,1572143677.0,87.0,39.95,-94.76,46.4,5.86
norman wells,26.6,90.0,CA,1572143846.0,92.0,65.28,-126.83,26.6,10.29
ayan,38.01,0.0,IR,1572143846.0,83.0,38.23,44.7,38.01,1.32
tessalit,71.17,0.0,ML,1572143847.0,16.0,20.2,1.01,71.17,13.0
high level,26.6,75.0,CA,1572143847.0,53.0,58.52,-117.13,26.6,2.55
puerto ayora,69.01,46.0,EC,1572143847.0,89.0,-0.74,-90.35,69.01,5.99
rabaul,83.84,56.0,PG,1572143847.0,67.0,-4.2,152.17,83.84,1.92
vaitupu,,,,,,,,,
sitka,50.0,0.0,US,1572143847.0,51.0,37.17,-99.65,50.0,11.01
meulaboh,78.6,100.0,ID,1572143847.0,84.0,4.14,96.13,78.6,6.93
belushya guba,,,,,,,,,
luderitz,55.4,0.0,NA,1572143848.0,100.0,-26.65,15.16,55.4,4.7
kroya,94.5,67.0,ID,1572143848.0,37.0,-6.5,108.06,94.5,6.42
poronaysk,46.09,100.0,RU,1572143848.0,98.0,49.22,143.1,46.09,6.49
butaritari,84.04,100.0,KI,1572143848.0,70.0,3.07,172.79,84.04,4.63
tabarqah,,,,,,,,,
tabiauea,,,,,,,,,
gamba,29.39,0.0,CN,1572143849.0,36.0,28.28,88.52,29.39,3.36
banjarmasin,89.08,99.0,ID,1572143849.0,51.0,-3.32,114.59,89.08,6.93
kruisfontein,53.8,36.0,ZA,1572143849.0,93.0,-34.0,24.73,53.8,3.76
yelizovo,39.2,75.0,RU,1572143849.0,86.0,53.19,158.38,39.2,13.42
bangassou,68.45,100.0,CF,1572143849.0,99.0,4.74,22.82,68.45,1.14
aklavik,15.8,20.0,CA,1572143849.0,85.0,68.22,-135.01,15.8,2.24
pleasanton,62.58,75.0,US,1572143849.0,39.0,37.66,-121.87,71.6,6.93
thinadhoo,81.86,92.0,MV,1572143849.0,77.0,0.53,72.93,81.86,13.91
victoria,84.09,75.0,BN,1572143850.0,74.0,5.28,115.24,84.2,5.82
east london,66.22,100.0,ZA,1572143850.0,86.0,-33.02,27.91,66.22,12.15
manadhoo,82.62,18.0,MV,1572143850.0,67.0,5.77,73.38,82.62,0.81
itarema,77.16,97.0,BR,1572143850.0,77.0,-2.92,-39.92,77.16,9.17
santo angelo,74.86,4.0,BR,1572143851.0,47.0,-28.3,-54.26,80.6,9.17
altay,22.78,91.0,CN,1572143851.0,79.0,47.83,88.13,22.78,2.3
fonte boa,77.85,43.0,BR,1572143851.0,76.0,-2.51,-66.09,77.85,1.32
chokurdakh,-4.49,100.0,RU,1572143851.0,90.0,70.62,147.9,-4.49,4.05
saryshagan,,,,,,,,,
tambacounda,78.8,0.0,SN,1572143851.0,100.0,13.77,-13.67,78.8,2.24
bafoulabe,81.57,0.0,ML,1572143851.0,14.0,13.81,-10.83,81.57,4.9
alpena,45.72,90.0,US,1572143852.0,75.0,45.06,-83.43,46.99,8.05
qaqortoq,28.4,93.0,GL,1572143852.0,58.0,60.72,-46.03,28.4,5.61
ambon,54.0,100.0,FR,1572143757.0,93.0,47.55,-2.56,60.8,13.87
sola,67.93,0.0,TZ,1572143852.0,64.0,-3.17,33.8,67.93,4.61
saint-philippe,40.82,1.0,CA,1572143852.0,69.0,45.36,-73.48,46.4,5.82
simplicio mendes,80.65,20.0,BR,1572143853.0,42.0,-7.85,-41.91,80.65,3.96
pisco,62.28,90.0,PE,1572143853.0,82.0,-13.71,-76.2,62.6,12.75
komsomolskiy,11.07,96.0,RU,1572143853.0,84.0,67.55,63.78,11.07,9.15
port-cartier,31.69,20.0,CA,1572143913.0,80.0,50.03,-66.88,33.01,5.82
cabo san lucas,76.95,5.0,MX,1572143701.0,73.0,22.89,-109.91,78.8,6.93
otjimbingwe,58.5,0.0,NA,1572143914.0,67.0,-22.35,16.13,58.5,2.53
karpuninskiy,,,,,,,,,
pangnirtung,31.19,100.0,CA,1572143914.0,99.0,66.15,-65.72,31.19,8.23
pevek,8.29,15.0,RU,1572143914.0,68.0,69.7,170.27,8.29,11.12
mys shmidta,,,,,,,,,
staraya poltavka,50.45,100.0,RU,1572143914.0,61.0,50.48,46.48,50.45,11.18
toora-khem,21.45,92.0,RU,1572143915.0,68.0,52.47,96.11,21.45,5.5
bosaso,82.38,100.0,SO,1572143915.0,55.0,11.28,49.18,82.38,9.08
ngunguru,81.0,0.0,NZ,1572143915.0,37.0,-35.62,174.5,81.0,11.99
kavieng,84.72,69.0,PG,1572143915.0,69.0,-2.57,150.8,84.72,8.46
kumluca,64.71,0.0,TR,1572143915.0,28.0,36.37,30.29,64.71,5.75
rio claro,68.0,41.0,BR,1572143915.0,72.0,-22.41,-47.56,68.0,3.36
darnah,72.88,0.0,LY,1572143915.0,67.0,32.77,22.64,72.88,16.89
aasiaat,25.02,100.0,GL,1572143916.0,58.0,68.71,-52.87,25.02,6.13
san cristobal,66.22,99.0,HN,1572143916.0,90.0,14.68,-86.92,66.22,2.33
valdivia,42.8,4.0,CL,1572143916.0,100.0,-39.81,-73.25,42.8,3.36
labuhan,84.07,93.0,ID,1572143916.0,74.0,-2.54,115.51,84.07,1.81
omsukchan,24.94,100.0,RU,1572143917.0,94.0,62.53,155.8,24.94,9.89
lebu,51.8,11.0,ET,1572143917.0,53.0,8.96,38.73,51.8,2.93
lavrentiya,34.0,100.0,RU,1572143917.0,96.0,65.58,-170.99,34.0,17.87
kasulu,69.8,40.0,TZ,1572143917.0,94.0,-4.57,30.11,69.8,1.25
gacko,44.6,0.0,BA,1572143917.0,87.0,43.17,18.53,44.6,2.24
ondorhaan,,,,,,,,,
banda aceh,77.36,100.0,ID,1572143917.0,88.0,5.56,95.32,77.36,0.94
iqaluit,33.39,90.0,CA,1572143917.0,74.0,63.75,-68.52,33.8,5.82
dolores,71.01,98.0,UY,1572143918.0,72.0,-33.53,-58.22,71.01,8.99
portland,37.89,1.0,US,1572143522.0,86.0,43.66,-70.25,44.01,11.56
ilebo,68.95,100.0,CD,1572143918.0,99.0,-4.33,20.59,68.95,1.63
sabha,70.25,0.0,LY,1572143918.0,31.0,27.03,14.43,70.25,8.93
faya,59.0,22.0,SA,1572143918.0,62.0,18.39,42.45,59.0,1.81
xuddur,73.06,100.0,SO,1572143918.0,83.0,4.12,43.89,73.06,9.66
kayes,82.65,0.0,ML,1572143919.0,13.0,14.44,-11.44,82.65,2.55
chuy,61.5,0.0,UY,1572143919.0,76.0,-33.69,-53.46,61.5,10.02
wanning,44.64,75.0,AT,1572143919.0,100.0,48.64,13.53,48.0,3.36
rocha,60.08,67.0,UY,1572143784.0,65.0,-34.48,-54.34,60.08,3.36
upernavik,27.84,100.0,GL,1572143919.0,63.0,72.79,-56.15,27.84,8.01
kavaratti,82.4,100.0,IN,1572143919.0,79.0,10.57,72.64,82.4,14.52
gorodovikovsk,49.98,0.0,RU,1572143919.0,90.0,46.08,41.93,49.98,6.76
krasnyy oktyabr,53.47,100.0,RU,1572143919.0,85.0,56.12,38.88,53.47,14.16
shimoda,68.13,75.0,JP,1572143920.0,73.0,34.7,138.93,75.0,6.93
talnakh,15.8,40.0,RU,1572143920.0,85.0,69.49,88.39,15.8,13.42
korla,,,,,,,,,
poya,71.91,0.0,NC,1572143920.0,71.0,-21.35,165.16,71.91,17.78
santa maria,68.65,40.0,BR,1572143920.0,83.0,-16.02,-48.01,71.6,1.12
prince george,30.72,1.0,CA,1572143791.0,86.0,53.92,-122.75,32.0,2.24
lata,39.51,0.0,IN,1572143920.0,15.0,30.78,78.62,39.51,0.98
cayenne,75.2,3.0,GF,1572143690.0,94.0,4.94,-52.33,75.2,1.12
bud,37.45,100.0,NO,1572143921.0,93.0,62.91,6.91,42.8,6.93
chimbote,59.99,80.0,PE,1572143921.0,88.0,-9.08,-78.59,59.99,3.47
hilo,72.32,75.0,US,1572143921.0,61.0,19.71,-155.08,82.4,5.82
ancud,46.4,75.0,CL,1572143921.0,87.0,-41.87,-73.83,46.4,12.75
esperance,77.0,0.0,AU,1572143921.0,38.0,-33.86,121.89,77.0,11.41
rawson,58.46,2.0,AR,1572143921.0,39.0,-43.3,-65.11,58.46,24.92
hasaki,67.37,75.0,JP,1572143921.0,82.0,35.73,140.83,70.0,5.82
gwadar,83.62,0.0,PK,1572143921.0,61.0,25.12,62.33,83.62,3.91
west wendover,46.4,1.0,US,1572143922.0,28.0,40.74,-114.07,46.4,12.75
carnarvon,50.92,14.0,ZA,1572143922.0,68.0,-30.97,22.13,50.92,3.53
san patricio,81.37,0.0,PY,1572143922.0,50.0,-26.98,-56.83,81.37,11.3
taketa,66.27,75.0,JP,1572143982.0,68.0,32.97,131.38,68.0,2.24
grootfontein,68.83,0.0,NA,1572143982.0,22.0,-19.56,18.1,68.83,19.39
necochea,55.0,33.0,AR,1572143982.0,94.0,-38.55,-58.74,55.0,5.01
tumannyy,,,,,,,,,
ilhabela,75.06,0.0,BR,1572143982.0,88.0,-23.78,-45.36,75.06,14.07
harrisburg,54.7,90.0,US,1572143982.0,87.0,40.27,-76.89,57.2,3.36
saskylakh,-0.66,96.0,RU,1572143983.0,94.0,71.97,114.09,-0.66,8.01
vao,42.3,100.0,EE,1572143983.0,88.0,59.1,26.19,42.3,3.49
monte cristi,,,,,,,,,
cap malheureux,70.83,40.0,MU,1572143983.0,94.0,-19.98,57.61,72.0,4.7
kamwenge,62.44,87.0,UG,1572143983.0,96.0,0.19,30.45,62.44,2.08
olafsvik,,,,,,,,,
benicarlo,52.0,26.0,ES,1572143984.0,95.0,40.42,0.43,52.0,2.17
alto araguaia,73.17,90.0,BR,1572143984.0,74.0,-17.32,-53.22,73.17,5.14
chita,24.8,20.0,RU,1572143984.0,73.0,52.03,113.5,24.8,4.47
menongue,67.03,100.0,AO,1572143984.0,70.0,-14.66,17.68,67.03,3.2
winton,96.28,0.0,AU,1572143985.0,13.0,-22.38,143.04,96.28,4.09
vagur,44.17,100.0,FO,1572143985.0,80.0,61.47,-6.81,44.17,34.18
georgetown,79.2,100.0,GY,1572143985.0,94.0,6.8,-58.16,80.6,4.7
akureyri,14.0,5.0,IS,1572143985.0,78.0,65.68,-18.09,14.0,4.7
tasiilaq,26.6,90.0,GL,1572143986.0,49.0,65.61,-37.64,26.6,4.7
parnaiba,76.17,83.0,BR,1572143986.0,82.0,-2.9,-41.78,76.17,5.12
roma,57.09,0.0,IT,1572143896.0,67.0,41.89,12.48,61.0,6.93
general roca,60.8,22.0,AR,1572143986.0,44.0,-39.03,-67.58,60.8,6.93
ovar,57.4,86.0,PT,1572143986.0,82.0,40.86,-8.63,59.0,9.17
port-gentil,76.48,100.0,GA,1572143986.0,91.0,-0.72,8.78,76.48,14.34
urengoy,19.42,100.0,RU,1572143986.0,93.0,65.96,78.37,19.42,22.73
amderma,,,,,,,,,
mar del plata,54.57,41.0,AR,1572143984.0,32.0,-46.43,-67.52,54.57,21.3
husavik,37.9,97.0,CA,1572143987.0,82.0,50.56,-96.99,39.0,11.01
padang,76.23,52.0,ID,1572143987.0,82.0,-0.92,100.36,76.23,3.65
staicele,54.0,100.0,LV,1572143987.0,95.0,57.83,24.75,54.0,7.0
leningradskiy,16.9,0.0,RU,1572143988.0,60.0,69.38,178.42,16.9,12.15
gat,78.8,30.0,SN,1572143988.0,94.0,14.69,-16.54,78.8,10.29
straseni,50.0,90.0,MD,1572143988.0,93.0,47.14,28.61,50.0,5.82
olavarria,60.01,19.0,AR,1572143988.0,84.0,-36.89,-60.32,60.01,3.13
marsh harbour,80.31,48.0,BS,1572143988.0,83.0,26.54,-77.06,80.31,13.49
grand gaube,70.83,40.0,MU,1572143988.0,94.0,-20.01,57.66,72.0,4.7
abha,59.0,3.0,SA,1572143989.0,62.0,18.22,42.5,59.0,1.05
namibe,71.83,78.0,AO,1572143989.0,70.0,-15.19,12.15,71.83,11.52
kutum,70.03,84.0,SD,1572143989.0,28.0,14.2,24.66,70.03,5.79
taitung,82.4,20.0,TW,1572143989.0,61.0,22.76,121.15,82.4,6.93
gornopravdinsk,41.29,100.0,RU,1572143989.0,92.0,60.06,69.92,41.29,10.42
sinnamary,82.35,37.0,GF,1572143989.0,76.0,5.38,-52.96,82.35,11.45
konstantinovskaya,50.85,0.0,RU,1572143990.0,78.0,44.83,40.73,50.85,3.67
lolua,,,,,,,,,
roald,36.88,100.0,NO,1572143991.0,70.0,62.58,6.12,42.8,10.29
toliary,,,,,,,,,
campbell river,44.94,20.0,CA,1572143966.0,75.0,50.02,-125.24,51.8,3.36
ribeira grande,61.79,90.0,PT,1572143991.0,85.0,38.52,-28.7,61.79,15.97
gunjur,80.6,0.0,GM,1572143991.0,88.0,13.18,-16.76,80.6,8.05
fortuna,51.85,1.0,US,1572143991.0,71.0,40.6,-124.16,53.6,18.34
santa rosa,56.25,33.0,AR,1572143894.0,52.0,-36.62,-64.29,56.25,2.77
berlevag,32.86,98.0,NO,1572143992.0,61.0,70.86,29.09,32.86,10.27
terney,45.28,0.0,RU,1572143992.0,35.0,45.05,136.61,45.28,5.75
talcahuano,57.2,75.0,CL,1572143992.0,87.0,-36.72,-73.12,57.2,4.7
la asuncion,69.67,0.0,AR,1572143992.0,44.0,-26.05,-65.39,69.67,8.12
constitucion,64.4,40.0,MX,1572143992.0,52.0,23.99,-104.67,64.4,4.7
kachiry,44.53,99.0,KZ,1572143992.0,79.0,53.07,76.1,44.53,20.38
lukovetskiy,30.2,90.0,RU,1572143993.0,74.0,64.29,41.92,30.2,8.95
aqtobe,39.2,0.0,KZ,1572144053.0,60.0,50.28,57.21,39.2,10.42
saleilua,,,,,,,,,
bambous virieux,71.02,40.0,MU,1572144053.0,94.0,-20.34,57.76,72.0,4.7
hailar,34.48,20.0,CN,1572144053.0,66.0,49.2,119.7,34.48,10.04
ixtapa,82.2,40.0,MX,1572144054.0,78.0,20.71,-105.21,82.4,1.59
port jervis,51.93,90.0,US,1572143885.0,71.0,41.38,-74.69,55.4,2.26
khagaul,69.8,75.0,IN,1572144054.0,100.0,25.63,85.04,69.8,3.36
urumqi,,,,,,,,,
